case,dice,mean_conf_pred,max_prob,pred_vol_ml,arch,cohort
BLITS_103,0.7308,0.9332613348960876,0.9999938011169434,241172.0,resenc,lits
BLITS_104,0.0,0.5386190414428711,0.6046907901763916,640.0,resenc,lits
BLITS_105,0.6859,0.8950979113578796,0.9999512434005736,849709.0,resenc,lits
BLITS_106,0.0,0.60289067029953,0.7311065793037415,240.0,resenc,lits
BLITS_107,0.0,0.8479132652282715,0.992906093597412,52813.0,resenc,lits
BLITS_108,0.619,0.6979460120201111,0.9908034801483154,155321.0,resenc,lits
BLITS_109,0.6242,0.9059296250343324,0.9999994039535522,40919.0,resenc,lits
BLITS_110,0.0157,0.6360166072845459,0.8226170539855957,11394.0,resenc,lits
BLITS_111,0.0,0.7955843210220337,0.9879462122917176,52179.0,resenc,lits
BLITS_112,0.2771,0.7656638622283936,0.9998831748962402,236469.0,resenc,lits
BLITS_113,0.5313,0.9030289053916932,0.999991536140442,57189.0,resenc,lits
BLITS_114,0.0,0.0,0.1995418667793274,0.0,resenc,lits
BLITS_115,0.446,0.9304630756378174,0.9999862909317015,29910.0,resenc,lits
BLITS_116,0.7638,0.923613667488098,0.999942183494568,914805.0,resenc,lits
BLITS_117,0.7609,0.939339280128479,0.9999986886978148,815163.0,resenc,lits
BLITS_118,0.0,0.0,0.1467585414648056,0.0,resenc,lits
BLITS_001,0.0,0.5644053220748901,0.6666595935821533,47.0,umamba,lits
BLITS_002,0.3147,0.829709529876709,0.9995939135551452,2162.0,umamba,lits
BLITS_003,0.5406,0.9182026386260986,0.999990463256836,52125.0,umamba,lits
BLITS_004,0.7923,0.9585235118865968,0.9999943971633912,2325545.0,umamba,lits
BLITS_005,0.35,0.7816502451896667,0.9999610185623168,555645.0,umamba,lits
BLITS_006,0.8532,0.9521799683570862,0.9999687671661376,40962.0,umamba,lits
BLITS_007,0.6668,0.9293904304504396,0.9999985694885254,127735.0,umamba,lits
BLITS_008,0.0,0.0,0.3279103636741638,0.0,umamba,lits
BLITS_009,0.4947,0.8606944680213928,0.9987356066703796,3006.0,umamba,lits
BLITS_010,0.4078,0.8578419089317322,0.998839557170868,2642941.0,umamba,lits
BLITS_011,0.0574,0.6269590258598328,0.8435410261154175,2571.0,umamba,lits
BLITS_012,0.0,0.0,0.0836655050516128,0.0,umamba,lits
BLITS_013,0.6534,0.917465329170227,0.9999992847442628,81841.0,umamba,lits
BLITS_014,0.2444,0.8109732866287231,0.994929850101471,2518.0,umamba,lits
