cohort,case,resenc,umamba,swin,resenc+umamba,resenc+swin,umamba+swin,resenc+umamba+swin
lits,BLITS_102,0.7311657414750198,0.30805525376377463,0.00636850484874801,0.42805433718008773,0.8099316549874557,0.6181564245810056,0.769087233711709
lits,BLITS_103,0.7307605895784023,0.7853829700977172,0.6809647681994294,0.8005550923440659,0.7990627800386989,0.7936213359205995,0.8016882694382138
lits,BLITS_104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lits,BLITS_105,0.6858809472801856,0.7089292072157607,0.3332489813454652,0.7107251735939797,0.6082306994623246,0.5849460733469942,0.6631316837050382
lits,BLITS_106,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lits,BLITS_107,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lits,BLITS_108,0.619026918248824,0.7703473368294284,0.5709415722361904,0.7466089198898958,0.7085518105225624,0.7532937541521233,0.7446663328739992
lits,BLITS_109,0.6242036197660782,0.4451467160125928,0.12768224065914432,0.5298994581834212,0.5381581737225246,0.4131166226450248,0.4802940837421388
lits,BLITS_110,0.015730859707114724,0.018112662020954826,0.3252028763147679,0.0032561856324543124,0.10898851406769361,0.08482866585493129,0.01862952128174826
lits,BLITS_111,0.0,0.0,0.001331080735166129,0.0,0.0,0.0,0.0
lits,BLITS_112,0.2770850404665413,0.15730361405350987,0.24080933390141265,0.24413420204435368,0.39894193416479246,0.27635390182928127,0.31200991608949563
lits,BLITS_113,0.5313330103413134,0.5368479315904734,0.1849483886510628,0.5431642565631184,0.5054783282089815,0.5016262251752872,0.5248601321237791
lits,BLITS_114,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lits,BLITS_115,0.44600599065911445,0.4850446460258649,0.07343676482270196,0.4718737005119087,0.4307545244338806,0.4484840698869476,0.46049966239027684
lits,BLITS_116,0.7637562000225594,0.7494167009837068,0.490887099885252,0.7656664541352826,0.7003267319398989,0.663784628669609,0.7312456702197854
lits,BLITS_117,0.7608965291522276,0.7967951031807863,0.7495315453694346,0.7890177175158559,0.7709177680246873,0.8019365782741997,0.7864191053264052
lits,BLITS_118,0.0,0.0,0.0,0.0,0.0,0.0,0.0
